TimestampMs,ElapsedMs,Tower,LimitState,TotalRotations,RawCounts,SpeedRPM,SpeedMMs,DrivePWM
--- NEW UPWARD HOMING EXPERIMENT SESSION ---
20948,51,A,OPEN,0.0112,46,8.33,8.29,180
20948,51,B,OPEN,0.0078,32,7.32,7.29,180
20948,51,C,OPEN,0.0066,27,7.76,7.72,180
20998,101,A,OPEN,0.0125,51,6.45,6.41,180
20998,101,B,OPEN,0.0266,109,21.68,21.57,180
20998,101,C,OPEN,0.0244,100,21.39,21.28,180
21048,151,A,OPEN,0.0125,51,0.00,0.00,180
21048,151,B,OPEN,0.0486,199,25.78,25.65,180
21048,151,C,OPEN,0.0483,198,28.71,28.56,180
21098,201,A,OPEN,0.0125,51,0.00,0.00,180
21098,201,B,OPEN,0.0750,307,29.58,29.43,180
21098,201,C,OPEN,0.0752,308,32.23,32.06,180
21148,251,A,OPEN,0.0125,51,0.00,0.00,180
21148,251,B,OPEN,0.1038,425,35.62,35.43,180
21148,251,C,OPEN,0.1072,439,38.38,38.18,180
21199,302,A,OPEN,0.0125,51,0.00,0.00,180
21199,302,B,OPEN,0.1343,550,35.62,35.43,180
21199,302,C,OPEN,0.1399,573,38.49,38.29,180
21250,353,A,OPEN,0.1365,559,143.04,142.30,180
21250,353,B,OPEN,0.1638,671,34.75,34.57,180
21250,353,C,OPEN,0.1724,706,38.20,38.00,180
21300,403,A,OPEN,0.1555,637,24.90,24.77,180
21300,403,B,OPEN,0.1938,794,36.04,35.85,180
21300,403,C,OPEN,0.2014,825,34.86,34.68,180
21351,454,A,OPEN,0.1677,687,13.21,13.14,180
21351,454,B,OPEN,0.2190,897,28.72,28.57,180
21351,454,C,OPEN,0.2285,936,31.88,31.72,180
21402,505,A,OPEN,0.2063,845,36.48,36.29,180
21402,505,B,OPEN,0.2471,1012,32.17,32.00,180
21402,505,C,OPEN,0.2554,1046,31.59,31.43,180
21452,555,A,OPEN,0.3262,1336,127.81,127.15,180
21452,555,B,OPEN,0.2698,1105,28.72,28.57,180
21452,555,C,OPEN,0.2810,1151,30.76,30.60,180
21502,605,A,OPEN,0.4272,1750,292.68,291.16,180
21502,605,B,OPEN,0.2957,1211,31.35,31.19,180
21502,605,C,OPEN,0.3088,1265,33.40,33.23,180
21553,656,A,OPEN,0.6733,2758,152.64,151.85,180
21553,656,B,OPEN,0.3232,1324,31.64,31.48,180
21553,656,C,OPEN,0.3374,1382,33.61,33.43,180
21604,707,A,OPEN,0.6663,2729,83.30,82.87,180
21604,707,B,OPEN,0.3523,1443,35.04,34.86,180
21604,707,C,OPEN,0.3689,1511,37.05,36.86,180
21655,758,A,OPEN,0.7502,3073,37.91,37.72,180
21655,758,B,OPEN,0.3792,1553,32.17,32.00,180
21655,758,C,OPEN,0.3967,1625,32.74,32.57,180
21705,808,A,OPEN,0.6355,2603,-90.82,-90.35,180
21705,808,B,OPEN,0.4075,1669,34.28,34.10,180
21705,808,C,OPEN,0.4250,1741,33.98,33.81,180
21756,859,A,OPEN,0.6289,2576,-32.46,-32.29,180
21756,859,B,OPEN,0.4304,1763,26.71,26.57,180
21756,859,C,OPEN,0.4495,1841,28.72,28.57,180
21807,910,A,OPEN,0.5515,2259,-146.48,-145.73,180
21807,910,B,OPEN,0.4561,1868,29.01,28.86,180
21807,910,C,OPEN,0.4763,1951,31.59,31.43,180
21857,960,A,OPEN,0.5488,2248,2.30,2.29,180
21857,960,B,OPEN,0.4780,1958,27.57,27.43,180
21857,960,C,OPEN,0.5000,2048,28.42,28.27,180
21907,1010,A,OPEN,0.5439,2228,-10.25,-10.20,180
21907,1010,B,OPEN,0.4995,2046,25.20,25.07,180
21907,1010,C,OPEN,0.5247,2149,29.59,29.44,180
21958,1061,A,OPEN,0.5425,2222,-2.34,-2.33,180
21958,1061,B,OPEN,0.5269,2158,31.64,31.48,180
21958,1061,C,OPEN,0.5513,2258,31.31,31.15,180
22009,1112,A,OPEN,0.5530,2265,10.05,10.00,180
22009,1112,B,OPEN,0.5535,2267,31.88,31.72,180
22009,1112,C,OPEN,0.5811,2380,35.04,34.86,180
22059,1162,A,OPEN,0.5527,2264,0.88,0.87,180
22059,1162,B,OPEN,0.5781,2368,29.00,28.85,180
22059,1162,C,OPEN,0.6099,2498,34.57,34.39,180
22110,1213,A,OPEN,0.5527,2264,0.00,0.00,180
22110,1213,B,OPEN,0.6057,2481,32.46,32.29,180
22110,1213,C,OPEN,0.6428,2633,38.78,38.58,180
22161,1264,A,OPEN,0.5527,2264,0.00,0.00,180
22161,1264,B,OPEN,0.6318,2588,31.59,31.43,180
22161,1264,C,OPEN,0.6733,2758,35.90,35.72,180
22212,1315,A,OPEN,0.6074,2488,29.01,28.86,180
22212,1315,B,OPEN,0.6594,2701,32.74,32.57,180
22212,1315,C,OPEN,0.7034,2881,35.33,35.15,180
22262,1365,A,OPEN,0.6270,2568,57.71,57.42,180
22262,1365,B,OPEN,0.6877,2817,34.57,34.39,180
22262,1365,C,OPEN,0.7295,2988,31.35,31.19,180
22313,1416,A,OPEN,0.6335,2595,16.66,16.57,180
22313,1416,B,OPEN,0.7144,2926,31.31,31.15,180
22313,1416,C,OPEN,0.7554,3094,30.45,30.29,180
22363,1466,A,OPEN,0.6333,2594,6.89,6.86,180
22363,1466,B,OPEN,0.7402,3032,31.02,30.86,180
22363,1466,C,OPEN,0.7803,3196,29.88,29.73,180
22414,1517,A,OPEN,0.6387,2616,-4.31,-4.29,180
22414,1517,B,OPEN,0.7676,3144,31.88,31.72,180
22414,1517,C,OPEN,0.8079,3309,32.46,32.29,180
22602,1705,A,OPEN,0.5288,2166,-34.78,-34.60,180
22602,1705,B,OPEN,0.8735,3578,33.82,33.65,180
22602,1705,C,OPEN,0.9114,3733,33.04,32.87,180
22653,1756,A,OPEN,0.5002,2049,-32.23,-32.06,180
22653,1756,B,OPEN,0.9038,3702,35.16,34.97,180
22653,1756,C,OPEN,0.9360,3834,29.01,28.86,180
22704,1807,A,OPEN,0.5752,2356,69.43,69.08,180
22704,1807,B,OPEN,0.9348,3829,36.76,36.57,180
22704,1807,C,OPEN,0.9602,3933,28.44,28.29,180
22755,1858,A,OPEN,0.0994,407,-615.81,-612.63,180
22755,1858,B,OPEN,0.9604,3934,29.87,29.72,180
22755,1858,C,OPEN,0.9827,4025,26.42,26.29,180
22805,1908,A,OPEN,-0.0156,-64,-58.89,-58.58,180
22805,1908,B,OPEN,0.9880,4047,33.40,33.23,180
22805,1908,C,OPEN,1.0081,4129,30.47,30.31,180
22856,1959,A,OPEN,-0.0205,-84,-6.89,-6.86,180
22856,1959,B,OPEN,1.0103,4138,26.14,26.00,180
22856,1959,C,OPEN,1.0317,4226,27.86,27.72,180
22907,2010,A,OPEN,-0.0083,-34,10.05,10.00,180
22907,2010,B,OPEN,1.0356,4242,30.45,30.29,180
22907,2010,C,OPEN,1.0610,4346,34.47,34.29,180
22957,2060,A,OPEN,0.0002,1,12.30,12.24,180
22957,2060,B,OPEN,1.0605,4344,29.59,29.44,180
22957,2060,C,OPEN,1.0894,4462,33.98,33.81,180
23007,2110,A,OPEN,0.0002,1,0.00,0.00,180
23007,2110,B,OPEN,1.0881,4457,32.52,32.35,180
23007,2110,C,OPEN,1.1201,4588,36.91,36.72,180
23058,2161,A,OPEN,0.0002,1,0.00,0.00,180
23058,2161,B,OPEN,1.1165,4573,33.03,32.86,180
23058,2161,C,OPEN,1.1538,4726,39.64,39.43,180
23109,2212,A,OPEN,0.0002,1,0.00,0.00,180
23109,2212,B,OPEN,1.1477,4701,36.76,36.57,180
23109,2212,C,OPEN,1.1848,4853,36.48,36.29,180
23159,2262,A,OPEN,0.0002,1,0.00,0.00,180
23159,2262,B,OPEN,1.1746,4811,32.23,32.06,180
23159,2262,C,OPEN,1.2126,4967,33.40,33.23,180
23210,2313,A,OPEN,0.0002,1,0.00,0.00,180
23210,2313,B,OPEN,1.2024,4925,33.03,32.86,180
23210,2313,C,OPEN,1.2385,5073,30.45,30.29,180
23261,2364,A,OPEN,0.1357,556,158.55,157.73,180
23261,2364,B,OPEN,1.2271,5026,28.72,28.57,180
23261,2364,C,OPEN,1.2639,5177,29.87,29.72,180
23312,2415,A,OPEN,0.1438,589,8.04,8.00,180
23312,2415,B,OPEN,1.2517,5127,29.30,29.15,180
23312,2415,C,OPEN,1.2878,5275,28.15,28.00,180
23362,2465,A,OPEN,0.1677,687,21.97,21.86,180
23362,2465,B,OPEN,1.2729,5214,26.07,25.94,180
23362,2465,C,OPEN,1.3176,5397,35.74,35.56,180
23412,2515,A,OPEN,0.6060,2482,472.20,469.76,180
23412,2515,B,OPEN,1.3003,5326,32.81,32.64,180
23412,2515,C,OPEN,1.3418,5496,29.00,28.85,180
23463,2566,A,OPEN,0.6697,2743,116.60,116.00,180
23463,2566,B,OPEN,1.3242,5424,28.15,28.00,180
23463,2566,C,OPEN,1.3699,5611,33.03,32.86,180
23514,2617,A,OPEN,0.7307,2993,77.84,77.44,180
23514,2617,B,OPEN,1.3547,5549,35.62,35.43,180
23514,2617,C,OPEN,1.3950,5714,29.58,29.43,180
23564,2667,A,OPEN,0.7812,3200,65.04,64.70,180
23564,2667,B,OPEN,1.3804,5654,30.47,30.31,180
23564,2667,C,OPEN,1.4192,5813,29.00,28.85,180
23615,2718,A,OPEN,0.8079,3309,31.88,31.72,180
23615,2718,B,OPEN,1.4045,5753,28.72,28.57,180
23615,2718,C,OPEN,1.4419,5906,26.71,26.57,180
23666,2769,A,OPEN,0.8242,3376,22.98,22.86,180
23666,2769,B,OPEN,1.4263,5842,25.85,25.72,180
23666,2769,C,OPEN,1.4641,5997,26.14,26.00,180
23716,2819,A,OPEN,0.8271,3388,0.88,0.87,180
23716,2819,B,OPEN,1.4473,5928,25.20,25.07,180
23716,2819,C,OPEN,1.4849,6082,24.90,24.77,180
23766,2869,A,OPEN,0.7864,3221,-46.82,-46.58,180
23766,2869,B,OPEN,1.4673,6010,24.02,23.90,180
23766,2869,C,OPEN,1.5085,6179,28.42,28.27,180
23817,2920,A,OPEN,0.7429,3043,-49.51,-49.26,180
23817,2920,B,OPEN,1.4880,6095,23.55,23.43,180
23817,2920,C,OPEN,1.5322,6276,27.86,27.72,180
23868,2971,A,OPEN,0.6707,2747,-69.51,-69.15,180
23868,2971,B,OPEN,1.5095,6183,25.85,25.72,180
23868,2971,C,OPEN,1.5557,6372,27.57,27.43,180
23918,3021,A,OPEN,0.6045,2476,-98.44,-97.93,180
23918,3021,B,OPEN,1.5303,6268,24.32,24.19,180
23918,3021,C,OPEN,1.5833,6485,33.11,32.93,180
23969,3072,A,OPEN,0.5696,2333,-39.64,-39.43,180
23969,3072,B,OPEN,1.5601,6390,35.62,35.43,180
23969,3072,C,OPEN,1.6121,6603,33.89,33.72,180
24020,3123,A,OPEN,0.5635,2308,-8.33,-8.29,180
24020,3123,B,OPEN,1.5784,6465,21.83,21.72,180
24020,3123,C,OPEN,1.6421,6726,35.33,35.15,180
24071,3174,A,OPEN,0.5657,2317,2.59,2.57,180
24071,3174,B,OPEN,1.6096,6593,35.90,35.72,180
24071,3174,C,OPEN,1.6716,6847,34.75,34.57,180
24121,3224,A,OPEN,0.5657,2317,0.00,0.00,180
24121,3224,B,OPEN,1.6321,6685,27.83,27.69,180
24121,3224,C,OPEN,1.7004,6965,34.57,34.39,180
24171,3274,A,OPEN,0.5657,2317,0.00,0.00,180
24171,3274,B,OPEN,1.6584,6793,31.59,31.43,180
24171,3274,C,OPEN,1.7241,7062,28.42,28.27,180
24221,3324,A,OPEN,0.5657,2317,0.00,0.00,180
24221,3324,B,OPEN,1.6873,6911,33.89,33.72,180
24221,3324,C,OPEN,1.7510,7172,32.23,32.06,180
24271,3374,A,OPEN,0.6008,2461,42.77,42.55,180
24271,3374,B,OPEN,1.7117,7011,29.30,29.15,180
24271,3374,C,OPEN,1.7737,7265,27.25,27.11,180
24321,3424,A,OPEN,0.5947,2436,-7.76,-7.72,180
24321,3424,B,OPEN,1.7368,7114,29.30,29.15,180
24321,3424,C,OPEN,1.7991,7369,30.47,30.31,180
24371,3474,A,OPEN,0.5730,2347,-26.07,-25.94,180
24371,3474,B,OPEN,1.7620,7217,29.72,29.57,180
24371,3474,C,OPEN,1.8247,7474,30.76,30.60,180
24422,3525,A,OPEN,0.4333,1775,-164.29,-163.44,180
24422,3525,B,OPEN,1.7886,7326,31.02,30.86,180
24422,3525,C,OPEN,1.8511,7582,31.02,30.86,180
24472,3575,A,OPEN,0.2952,1209,-165.82,-164.96,180
24472,3575,B,OPEN,1.8142,7431,31.88,31.72,180
24472,3575,C,OPEN,1.8757,7683,29.59,29.44,180
24523,3626,A,OPEN,0.2981,1221,3.45,3.43,180
24523,3626,B,OPEN,1.8408,7540,30.18,30.02,180
24523,3626,C,OPEN,1.9023,7792,31.31,31.15,180
24574,3677,A,OPEN,0.3152,1291,20.11,20.00,180
24574,3677,B,OPEN,1.8701,7660,33.03,32.86,180
24574,3677,C,OPEN,1.9258,7888,27.57,27.43,180
24625,3728,A,OPEN,0.3555,1456,47.39,47.15,180
24625,3728,B,OPEN,1.8967,7769,33.61,33.43,180
24625,3728,C,OPEN,1.9482,7980,26.42,26.29,180
24675,3778,A,OPEN,0.3826,1567,32.52,32.35,180
24675,3778,B,OPEN,1.9238,7880,31.88,31.72,180
24675,3778,C,OPEN,1.9688,8064,24.61,24.48,180
24725,3828,A,OPEN,0.4077,1670,30.18,30.02,180
24725,3828,B,OPEN,1.9500,7987,32.52,32.35,180
24725,3828,C,OPEN,1.9895,8149,24.90,24.77,180
24776,3879,A,OPEN,0.4141,1696,7.47,7.43,180
24776,3879,B,OPEN,1.9749,8089,29.88,29.73,180
24776,3879,C,OPEN,2.0117,8240,26.14,26.00,180
24827,3930,A,OPEN,0.3987,1633,-18.10,-18.00,180
24827,3930,B,OPEN,1.9983,8185,28.15,28.00,180
24827,3930,C,OPEN,2.0359,8339,28.44,28.29,180
24877,3980,A,OPEN,0.1448,593,-304.69,-303.11,180
24877,3980,B,OPEN,2.0217,8281,27.57,27.43,180
24877,3980,C,OPEN,2.0618,8445,31.05,30.89,180
24928,4031,A,OPEN,0.0789,323,-77.55,-77.15,180
24928,4031,B,OPEN,2.0439,8372,28.12,27.98,180
24928,4031,C,OPEN,2.0869,8548,29.58,29.43,180
24979,4082,A,OPEN,0.0400,164,-45.67,-45.43,180
24979,4082,B,OPEN,2.0688,8474,25.56,25.43,180
24979,4082,C,OPEN,2.1187,8678,37.34,37.15,180
25029,4132,A,OPEN,0.0327,134,-8.79,-8.74,180
25029,4132,B,OPEN,2.0959,8585,31.27,31.11,180
25029,4132,C,OPEN,2.1528,8818,41.02,40.80,180
25079,4182,A,OPEN,0.0405,166,9.38,9.33,180
25079,4182,B,OPEN,2.1208,8687,31.02,30.86,180
25079,4182,C,OPEN,2.1821,8938,35.16,34.97,180
25130,4233,A,OPEN,0.0405,166,0.00,0.00,180
25130,4233,B,OPEN,2.1492,8803,33.61,33.43,180
25130,4233,C,OPEN,2.2107,9055,33.61,33.43,180
25181,4284,A,OPEN,0.0405,166,0.00,0.00,180
25181,4284,B,OPEN,2.1775,8919,32.17,32.00,180
25181,4284,C,OPEN,2.2341,9151,27.57,27.43,180
25231,4334,A,OPEN,0.0405,166,0.00,0.00,180
25231,4334,B,OPEN,2.2051,9032,33.69,33.52,180
25231,4334,C,OPEN,2.2578,9248,28.42,28.27,180
25282,4385,A,OPEN,0.0405,166,0.00,0.00,180
25282,4385,B,OPEN,2.2297,9133,29.58,29.43,180
25282,4385,C,OPEN,2.2803,9340,26.42,26.29,180
25333,4436,A,OPEN,0.1140,467,86.45,86.01,180
25333,4436,B,OPEN,2.2554,9238,31.31,31.15,180
25333,4436,C,OPEN,2.3032,9434,27.00,26.86,180
25384,4487,A,OPEN,0.1208,495,8.04,8.00,180
25384,4487,B,OPEN,2.2754,9320,29.30,29.15,180
25384,4487,C,OPEN,2.3267,9530,27.57,27.43,180
25434,4537,A,OPEN,0.0715,293,-59.18,-58.87,180
25434,4537,B,OPEN,2.2996,9419,21.68,21.57,180
25434,4537,C,OPEN,2.3486,9620,26.37,26.23,180
25485,4588,A,OPEN,-0.2717,-1113,-403.84,-401.75,180
25485,4588,B,OPEN,2.3240,9519,31.35,31.19,180
25485,4588,C,OPEN,2.3713,9713,26.71,26.57,180
25535,4638,A,OPEN,-0.2717,-1113,0.00,0.00,180
25535,4638,B,OPEN,2.3486,9620,26.71,26.57,180
25535,4638,C,OPEN,2.3918,9797,24.61,24.48,180
25585,4688,A,OPEN,-0.2507,-1027,25.20,25.07,180
25585,4688,B,OPEN,2.3708,9711,30.47,30.31,180
25585,4688,C,OPEN,2.4131,9884,25.49,25.36,180
25636,4739,A,OPEN,-0.2190,-897,37.34,37.15,180
25636,4739,B,OPEN,2.3923,9799,26.42,26.29,180
25636,4739,C,OPEN,2.4304,9955,20.39,20.29,180
25687,4790,A,OPEN,-0.1980,-811,24.70,24.57,180
25687,4790,B,OPEN,2.4126,9882,23.55,23.43,180
25687,4790,C,OPEN,2.4473,10024,19.82,19.72,180
25738,4841,A,OPEN,-0.1804,-739,20.68,20.57,180
25738,4841,B,OPEN,2.4299,9953,23.55,23.43,180
25738,4841,C,OPEN,2.4663,10102,22.40,22.29,180
25788,4891,A,OPEN,-0.1729,-708,9.08,9.04,180
25788,4891,B,OPEN,2.4470,10023,19.34,19.24,180
25788,4891,C,OPEN,2.4844,10176,21.68,21.57,180
25839,4942,A,OPEN,-0.1675,-686,6.32,6.29,180
25839,4942,B,OPEN,2.4658,10100,19.24,19.14,180
25839,4942,C,OPEN,2.5044,10258,23.55,23.43,180
25890,4993,A,OPEN,-0.1675,-686,0.00,0.00,180
25890,4993,B,OPEN,2.4834,10172,27.00,26.86,180
25890,4993,C,OPEN,2.5247,10341,23.84,23.72,180
25941,5044,A,OPEN,-0.1826,-748,-17.81,-17.72,180
25941,5044,B,OPEN,2.5022,10249,15.51,15.43,180
25941,5044,C,OPEN,2.5422,10413,20.68,20.57,180
25991,5094,A,OPEN,-0.1978,-810,-18.16,-18.07,180
25991,5094,B,OPEN,2.5205,10324,23.14,23.03,180
25991,5094,C,OPEN,2.5601,10486,21.39,21.28,180
26041,5144,A,OPEN,-0.2424,-993,-53.61,-53.34,180
26041,5144,B,OPEN,2.5393,10401,22.85,22.73,180
26041,5144,C,OPEN,2.5781,10560,21.68,21.57,180
26092,5195,A,OPEN,-0.3162,-1295,-86.74,-86.29,180
26092,5195,B,OPEN,2.5615,10492,29.87,29.72,180
26092,5195,C,OPEN,2.6013,10655,27.29,27.15,180
26142,5245,A,OPEN,-0.3887,-1592,-87.01,-86.56,180
26142,5245,B,OPEN,2.5913,10614,26.95,26.81,180
26142,5245,C,OPEN,2.6318,10780,36.62,36.43,180
26193,5296,A,OPEN,-0.4192,-1717,-35.90,-35.72,180
26193,5296,B,OPEN,2.6189,10727,37.63,37.43,180
26193,5296,C,OPEN,2.6680,10928,42.51,42.29,180
26244,5347,A,OPEN,-0.4248,-1740,-6.61,-6.57,180
26244,5347,B,OPEN,2.6475,10844,27.29,27.15,180
26244,5347,C,OPEN,2.6975,11049,34.75,34.57,180
26295,5398,A,OPEN,-0.4209,-1724,4.60,4.57,180
26295,5398,B,OPEN,2.6738,10952,30.73,30.57,180
26295,5398,C,OPEN,2.7253,11163,32.74,32.57,180
26345,5448,A,OPEN,-0.4209,-1724,0.00,0.00,180
26345,5448,B,OPEN,2.6973,11048,33.40,33.23,180
26345,5448,C,OPEN,2.7498,11263,29.30,29.15,180
