TimestampMs,SessionElapsedMs,MotorIndex,MotorName,TestPhase,CommandedPWM,Pin1,Pin2,RawAngle,EncoderCounts,DeltaCounts,TotalRotations,InstantRPM,SpeedMMs,MagnetStatus,AGC,Magnitude,LimitSwitchState,DiagnosticNote
--- NEW INDIVIDUAL MOTOR DIAGNOSTIC SESSION ---
--- NEW INDIVIDUAL MOTOR DIAGNOSTIC SESSION ---
32796,106,0,Tower_A,FWD_RAMP,60,0,60,2846,0,0,0.0000,0.00,0.00,OK,255,1826,OPEN,Ramping FWD PWM
32838,148,0,Tower_A,FWD_RAMP,60,0,60,2851,5,5,0.0012,1.70,1.69,OK,255,1845,OPEN,Ramping FWD PWM
32881,191,0,Tower_A,FWD_RAMP,60,0,60,2864,18,13,0.0044,4.43,4.41,OK,255,1893,OPEN,Ramping FWD PWM
32926,236,0,Tower_A,FWD_RAMP,60,0,60,2883,37,19,0.0090,6.18,6.15,OK,255,1970,OPEN,Ramping FWD PWM
32968,278,0,Tower_A,FWD_RAMP,60,0,60,2907,60,23,0.0146,8.02,7.98,OK,255,2051,OPEN,Ramping FWD PWM
33010,320,0,Tower_A,FWD_RAMP,60,0,60,2930,83,23,0.0203,8.02,7.98,OK,255,2093,OPEN,Ramping FWD PWM
33052,362,0,Tower_A,FWD_RAMP,60,0,60,2955,109,26,0.0266,9.07,9.02,OK,241,2142,OPEN,Ramping FWD PWM
33094,404,0,Tower_A,FWD_RAMP,60,0,60,2982,136,27,0.0332,9.42,9.37,OK,227,2124,OPEN,Ramping FWD PWM
33138,448,0,Tower_A,FWD_RAMP,60,0,60,3009,163,27,0.0398,8.99,8.94,OK,213,2136,OPEN,Ramping FWD PWM
33180,490,0,Tower_A,FWD_RAMP,60,0,60,3038,192,29,0.0469,10.11,10.06,OK,197,2138,OPEN,Ramping FWD PWM
33222,532,0,Tower_A,FWD_RAMP,60,0,60,3067,221,29,0.0540,10.11,10.06,OK,179,2114,OPEN,Ramping FWD PWM
33264,574,0,Tower_A,FWD_RAMP,60,0,60,3097,251,30,0.0613,10.46,10.41,OK,167,2133,OPEN,Ramping FWD PWM
33306,616,0,Tower_A,FWD_RAMP,60,0,60,3122,276,25,0.0674,8.72,8.67,OK,155,2143,OPEN,Ramping FWD PWM
33350,660,0,Tower_A,FWD_RAMP,60,0,60,3147,300,24,0.0732,7.99,7.95,OK,143,2130,OPEN,Ramping FWD PWM
33392,702,0,Tower_A,FWD_RAMP,60,0,60,3169,323,23,0.0789,8.02,7.98,OK,135,2137,OPEN,Ramping FWD PWM
33434,744,0,Tower_A,FWD_RAMP,60,0,60,3192,346,23,0.0845,8.02,7.98,OK,127,2125,OPEN,Ramping FWD PWM
33476,786,0,Tower_A,FWD_RAMP,60,0,60,3214,368,22,0.0898,7.67,7.63,OK,119,2143,OPEN,Ramping FWD PWM
33518,828,0,Tower_A,FWD_RAMP,60,0,60,3241,395,27,0.0964,9.42,9.37,OK,111,2141,OPEN,Ramping FWD PWM
33562,872,0,Tower_A,FWD_RAMP,60,0,60,3271,425,30,0.1038,9.99,9.94,OK,103,2134,OPEN,Ramping FWD PWM
33604,914,0,Tower_A,FWD_RAMP,60,0,60,3300,454,29,0.1108,10.11,10.06,OK,97,2128,OPEN,Ramping FWD PWM
33646,956,0,Tower_A,FWD_RAMP,60,0,60,3325,479,25,0.1169,8.72,8.67,OK,93,2130,OPEN,Ramping FWD PWM
33688,998,0,Tower_A,FWD_RAMP,60,0,60,3350,504,25,0.1230,8.72,8.67,OK,89,2128,OPEN,Ramping FWD PWM
33730,1040,0,Tower_A,FWD_RAMP,60,0,60,3374,528,24,0.1289,8.37,8.33,OK,87,2139,OPEN,Ramping FWD PWM
33774,1084,0,Tower_A,FWD_RAMP,60,0,60,3400,554,26,0.1353,8.66,8.61,OK,83,2125,OPEN,Ramping FWD PWM
33816,1126,0,Tower_A,FWD_RAMP,60,0,60,3430,584,30,0.1426,10.46,10.41,OK,81,2129,OPEN,Ramping FWD PWM
33858,1168,0,Tower_A,FWD_RAMP,60,0,60,3460,614,30,0.1499,10.46,10.41,OK,79,2125,OPEN,Ramping FWD PWM
33900,1210,0,Tower_A,FWD_RAMP,60,0,60,3489,643,29,0.1570,10.11,10.06,OK,79,2136,OPEN,Ramping FWD PWM
33942,1252,0,Tower_A,FWD_RAMP,60,0,60,3518,672,29,0.1641,10.11,10.06,OK,79,2141,OPEN,Ramping FWD PWM
33986,1296,0,Tower_A,FWD_RAMP,60,0,60,3547,701,29,0.1711,9.65,9.60,OK,79,2135,OPEN,Ramping FWD PWM
34028,1338,0,Tower_A,FWD_RAMP,60,0,60,3577,731,30,0.1785,10.46,10.41,OK,79,2116,OPEN,Ramping FWD PWM
