TimestampMs,State,TargetX,TargetY,TargetZ,SetpointA,SetpointB,SetpointC,CountA,CountB,CountC,ErrA,ErrB,ErrC,Status
--- NEW TEST SESSION STARTED ---
16625,0,0,0,0,0,0,0,0,0,0,0,0,0,SECTION: HOMING ROUTINE STARTED
16634,1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,RUNNING
16656,1,0.00,0.00,0.00,0,0,0,0,1,0,0,-1,0,RUNNING
16678,1,0.00,0.00,0.00,0,0,0,12,17,1,-12,-17,-1,RUNNING
16700,1,0.00,0.00,0.00,0,0,0,43,49,16,-43,-49,-16,RUNNING
16722,1,0.00,0.00,0.00,0,0,0,90,92,64,-90,-92,-64,RUNNING
16744,1,0.00,0.00,0.00,0,0,0,143,143,122,-143,-143,-122,RUNNING
16768,1,0.00,0.00,0.00,0,0,0,211,202,193,-211,-202,-193,RUNNING
16790,1,0.00,0.00,0.00,0,0,0,285,262,263,-285,-262,-263,RUNNING
16812,1,0.00,0.00,0.00,0,0,0,361,332,344,-361,-332,-344,RUNNING
16834,1,0.00,0.00,0.00,0,0,0,429,396,419,-429,-396,-419,RUNNING
16856,1,0.00,0.00,0.00,0,0,0,504,464,496,-504,-464,-496,RUNNING
16878,1,0.00,0.00,0.00,0,0,0,586,539,592,-586,-539,-592,RUNNING
16900,1,0.00,0.00,0.00,0,0,0,661,626,666,-661,-626,-666,RUNNING
16922,1,0.00,0.00,0.00,0,0,0,726,703,733,-726,-703,-733,RUNNING
16946,1,0.00,0.00,0.00,0,0,0,813,783,811,-813,-783,-811,RUNNING
16968,1,0.00,0.00,0.00,0,0,0,885,860,877,-885,-860,-877,RUNNING
16990,1,0.00,0.00,0.00,0,0,0,954,936,942,-954,-936,-942,RUNNING
17012,1,0.00,0.00,0.00,0,0,0,1026,1004,1016,-1026,-1004,-1016,RUNNING
17034,1,0.00,0.00,0.00,0,0,0,1100,1072,1079,-1100,-1072,-1079,RUNNING
17056,1,0.00,0.00,0.00,0,0,0,1182,1130,1152,-1182,-1130,-1152,RUNNING
17078,1,0.00,0.00,0.00,0,0,0,1263,1193,1240,-1263,-1193,-1240,RUNNING
17100,1,0.00,0.00,0.00,0,0,0,1336,1261,1316,-1336,-1261,-1316,RUNNING
17124,1,0.00,0.00,0.00,0,0,0,1422,1326,1398,-1422,-1326,-1398,RUNNING
17146,1,0.00,0.00,0.00,0,0,0,1503,1390,1485,-1503,-1390,-1485,RUNNING
17168,1,0.00,0.00,0.00,0,0,0,1579,1467,1563,-1579,-1467,-1563,RUNNING
17190,1,0.00,0.00,0.00,0,0,0,1652,1542,1630,-1652,-1542,-1630,RUNNING
17212,1,0.00,0.00,0.00,0,0,0,1719,1618,1702,-1719,-1618,-1702,RUNNING
17234,1,0.00,0.00,0.00,0,0,0,1782,1696,1768,-1782,-1696,-1768,RUNNING
17256,1,0.00,0.00,0.00,0,0,0,1855,1771,1833,-1855,-1771,-1833,RUNNING
17280,1,0.00,0.00,0.00,0,0,0,1921,1863,1906,-1921,-1863,-1906,RUNNING
17302,1,0.00,0.00,0.00,0,0,0,1977,1933,1964,-1977,-1933,-1964,RUNNING
17324,1,0.00,0.00,0.00,0,0,0,2052,1997,2031,-2052,-1997,-2031,RUNNING
17346,1,0.00,0.00,0.00,0,0,0,2121,2063,2104,-2121,-2063,-2104,RUNNING
17368,1,0.00,0.00,0.00,0,0,0,2190,2134,2174,-2190,-2134,-2174,RUNNING
17390,1,0.00,0.00,0.00,0,0,0,2270,2191,2250,-2270,-2191,-2250,RUNNING
17412,1,0.00,0.00,0.00,0,0,0,2348,2254,2331,-2348,-2254,-2331,RUNNING
17436,1,0.00,0.00,0.00,0,0,0,2440,2324,2419,-2440,-2324,-2419,RUNNING
17458,1,0.00,0.00,0.00,0,0,0,2524,2388,2501,-2524,-2388,-2501,RUNNING
17480,1,0.00,0.00,0.00,0,0,0,2596,2464,2582,-2596,-2464,-2582,RUNNING
17502,1,0.00,0.00,0.00,0,0,0,2666,2533,2657,-2666,-2533,-2657,RUNNING
17524,1,0.00,0.00,0.00,0,0,0,2748,2604,2733,-2748,-2604,-2733,RUNNING
17546,1,0.00,0.00,0.00,0,0,0,2816,2691,2803,-2816,-2691,-2803,RUNNING
17568,1,0.00,0.00,0.00,0,0,0,2881,2770,2864,-2881,-2770,-2864,RUNNING
17592,1,0.00,0.00,0.00,0,0,0,2958,2848,2941,-2958,-2848,-2941,RUNNING
17614,1,0.00,0.00,0.00,0,0,0,3025,2919,3005,-3025,-2919,-3005,RUNNING
17636,1,0.00,0.00,0.00,0,0,0,3089,2984,3071,-3089,-2984,-3071,RUNNING
17658,1,0.00,0.00,0.00,0,0,0,3161,3046,3143,-3161,-3046,-3143,RUNNING
17680,1,0.00,0.00,0.00,0,0,0,3228,3099,3207,-3228,-3099,-3207,RUNNING
17702,1,0.00,0.00,0.00,0,0,0,3303,3154,3280,-3303,-3154,-3280,RUNNING
17724,1,0.00,0.00,0.00,0,0,0,3381,3212,3359,-3381,-3212,-3359,RUNNING
17746,1,0.00,0.00,0.00,0,0,0,3447,3274,3431,-3447,-3274,-3431,RUNNING
17770,1,0.00,0.00,0.00,0,0,0,3521,3340,3508,-3521,-3340,-3508,RUNNING
17792,1,0.00,0.00,0.00,0,0,0,3598,3400,3590,-3598,-3400,-3590,RUNNING
17814,1,0.00,0.00,0.00,0,0,0,3664,3466,3660,-3664,-3466,-3660,RUNNING
17836,1,0.00,0.00,0.00,0,0,0,3725,3533,3723,-3725,-3533,-3723,RUNNING
17858,1,0.00,0.00,0.00,0,0,0,3791,3611,3789,-3791,-3611,-3789,RUNNING
17880,1,0.00,0.00,0.00,0,0,0,3852,3681,3850,-3852,-3681,-3850,RUNNING
17902,1,0.00,0.00,0.00,0,0,0,3912,3767,3912,-3912,-3767,-3912,RUNNING
17926,1,0.00,0.00,0.00,0,0,0,3981,3842,3992,-3981,-3842,-3992,RUNNING
17948,1,0.00,0.00,0.00,0,0,0,4039,3936,4051,-4039,-3936,-4051,RUNNING
17970,1,0.00,0.00,0.00,0,0,0,4099,4002,4109,-4099,-4002,-4109,RUNNING
17992,1,0.00,0.00,0.00,0,0,0,4176,4072,4182,-4176,-4072,-4182,RUNNING
18074,1,0.00,0.00,0.00,0,0,0,4453,4319,4460,-4453,-4319,-4460,RUNNING
18152,1,0.00,0.00,0.00,0,0,0,4729,4564,4733,-4729,-4564,-4733,RUNNING
18394,1,0.00,0.00,0.00,0,0,0,5565,5344,5481,-5565,-5344,-5481,RUNNING
18418,1,0.00,0.00,0.00,0,0,0,5638,5414,5564,-5638,-5414,-5564,RUNNING
18440,1,0.00,0.00,0.00,0,0,0,5706,5481,5630,-5706,-5481,-5630,RUNNING
18462,1,0.00,0.00,0.00,0,0,0,5776,5551,5692,-5776,-5551,-5692,RUNNING
18484,1,0.00,0.00,0.00,0,0,0,5839,5616,5762,-5839,-5616,-5762,RUNNING
18506,1,0.00,0.00,0.00,0,0,0,5895,5693,5819,-5895,-5693,-5819,RUNNING
18528,1,0.00,0.00,0.00,0,0,0,5963,5782,5873,-5963,-5782,-5873,RUNNING
18550,1,0.00,0.00,0.00,0,0,0,6025,5854,5933,-6025,-5854,-5933,RUNNING
18593,1,0.00,0.00,0.00,0,0,0,6149,6004,6047,-6149,-6004,-6047,RUNNING
18617,1,0.00,0.00,0.00,0,0,0,6219,6077,6112,-6219,-6077,-6112,RUNNING
18639,1,0.00,0.00,0.00,0,0,0,6293,6146,6177,-6293,-6146,-6177,RUNNING
18661,1,0.00,0.00,0.00,0,0,0,6376,6206,6243,-6376,-6206,-6243,RUNNING
18683,1,0.00,0.00,0.00,0,0,0,6449,6262,6316,-6449,-6262,-6316,RUNNING
18705,1,0.00,0.00,0.00,0,0,0,6523,6321,6390,-6523,-6321,-6390,RUNNING
18727,1,0.00,0.00,0.00,0,0,0,6610,6391,6467,-6610,-6391,-6467,RUNNING
18749,1,0.00,0.00,0.00,0,0,0,6688,6451,6546,-6688,-6451,-6546,RUNNING
18773,1,0.00,0.00,0.00,0,0,0,6764,6518,6645,-6764,-6518,-6645,RUNNING
18795,1,0.00,0.00,0.00,0,0,0,6837,6595,6725,-6837,-6595,-6725,RUNNING
18817,1,0.00,0.00,0.00,0,0,0,6904,6670,6797,-6904,-6670,-6797,RUNNING
18839,1,0.00,0.00,0.00,0,0,0,6971,6740,6870,-6971,-6740,-6870,RUNNING
18861,1,0.00,0.00,0.00,0,0,0,7042,6819,6936,-7042,-6819,-6936,RUNNING
18883,1,0.00,0.00,0.00,0,0,0,7105,6890,7007,-7105,-6890,-7007,RUNNING
18905,1,0.00,0.00,0.00,0,0,0,7169,6960,7069,-7169,-6960,-7069,RUNNING
18929,1,0.00,0.00,0.00,0,0,0,7253,7041,7137,-7253,-7041,-7137,RUNNING
18951,1,0.00,0.00,0.00,0,0,0,7324,7101,7201,-7324,-7101,-7201,RUNNING
18973,1,0.00,0.00,0.00,0,0,0,7390,7159,7273,-7390,-7159,-7273,RUNNING
18995,1,0.00,0.00,0.00,0,0,0,7466,7219,7335,-7466,-7219,-7335,RUNNING
19017,1,0.00,0.00,0.00,0,0,0,7540,7287,7405,-7540,-7287,-7405,RUNNING
19039,1,0.00,0.00,0.00,0,0,0,7613,7351,7487,-7613,-7351,-7487,RUNNING
19061,1,0.00,0.00,0.00,0,0,0,7685,7409,7557,-7685,-7409,-7557,RUNNING
19083,1,0.00,0.00,0.00,0,0,0,7746,7472,7631,-7746,-7472,-7631,RUNNING
19107,1,0.00,0.00,0.00,0,0,0,7817,7549,7708,-7817,-7549,-7708,RUNNING
19129,1,0.00,0.00,0.00,0,0,0,7886,7612,7768,-7886,-7612,-7768,RUNNING
19151,1,0.00,0.00,0.00,0,0,0,7946,7685,7829,-7946,-7685,-7829,RUNNING
19173,1,0.00,0.00,0.00,0,0,0,8000,7760,7895,-8000,-7760,-7895,RUNNING
19195,1,0.00,0.00,0.00,0,0,0,8068,7831,7950,-8068,-7831,-7950,RUNNING
19217,1,0.00,0.00,0.00,0,0,0,8130,7915,8005,-8130,-7915,-8005,RUNNING
19239,1,0.00,0.00,0.00,0,0,0,8189,7985,8068,-8189,-7985,-8068,RUNNING
19263,1,0.00,0.00,0.00,0,0,0,8270,8057,8134,-8270,-8057,-8134,RUNNING
19285,1,0.00,0.00,0.00,0,0,0,8342,8128,8193,-8342,-8128,-8193,RUNNING
19307,1,0.00,0.00,0.00,0,0,0,8417,8197,8261,-8417,-8197,-8261,RUNNING
19329,1,0.00,0.00,0.00,0,0,0,8503,8261,8324,-8503,-8261,-8324,RUNNING
19351,1,0.00,0.00,0.00,0,0,0,8577,8320,8392,-8577,-8320,-8392,RUNNING
19373,1,0.00,0.00,0.00,0,0,0,8654,8390,8463,-8654,-8390,-8463,RUNNING
19395,1,0.00,0.00,0.00,0,0,0,8744,8459,8542,-8744,-8459,-8542,RUNNING
19419,1,0.00,0.00,0.00,0,0,0,8831,8534,8624,-8831,-8534,-8624,RUNNING
19441,1,0.00,0.00,0.00,0,0,0,8899,8603,8699,-8899,-8603,-8699,RUNNING
19463,1,0.00,0.00,0.00,0,0,0,8981,8674,8784,-8981,-8674,-8784,RUNNING
19485,1,0.00,0.00,0.00,0,0,0,9059,8754,8853,-9059,-8754,-8853,RUNNING
19507,1,0.00,0.00,0.00,0,0,0,9132,8835,8920,-9132,-8835,-8920,RUNNING
19529,1,0.00,0.00,0.00,0,0,0,9207,8907,8989,-9207,-8907,-8989,RUNNING
19551,1,0.00,0.00,0.00,0,0,0,9277,8987,9054,-9277,-8987,-9054,RUNNING
19573,1,0.00,0.00,0.00,0,0,0,9358,9061,9115,-9358,-9061,-9115,RUNNING
19597,1,0.00,0.00,0.00,0,0,0,9446,9142,9188,-9446,-9142,-9188,RUNNING
19619,1,0.00,0.00,0.00,0,0,0,9517,9213,9250,-9517,-9213,-9250,RUNNING
19641,1,0.00,0.00,0.00,0,0,0,9591,9273,9315,-9591,-9273,-9315,RUNNING
19663,1,0.00,0.00,0.00,0,0,0,9673,9334,9388,-9673,-9334,-9388,RUNNING
19685,1,0.00,0.00,0.00,0,0,0,9749,9403,9460,-9749,-9403,-9460,RUNNING
19707,1,0.00,0.00,0.00,0,0,0,9816,9463,9524,-9816,-9463,-9524,RUNNING
19729,1,0.00,0.00,0.00,0,0,0,9885,9522,9597,-9885,-9522,-9597,RUNNING
19753,1,0.00,0.00,0.00,0,0,0,9952,9595,9681,-9952,-9595,-9681,RUNNING
19775,1,0.00,0.00,0.00,0,0,0,10018,9663,9745,-10018,-9663,-9745,RUNNING
19797,1,0.00,0.00,0.00,0,0,0,10083,9735,9810,-10083,-9735,-9810,RUNNING
19819,1,0.00,0.00,0.00,0,0,0,10141,9810,9873,-10141,-9810,-9873,RUNNING
19841,1,0.00,0.00,0.00,0,0,0,10203,9885,9933,-10203,-9885,-9933,RUNNING
19863,1,0.00,0.00,0.00,0,0,0,10276,9958,9992,-10276,-9958,-9992,RUNNING
19885,1,0.00,0.00,0.00,0,0,0,10345,10047,10054,-10345,-10047,-10054,RUNNING
19909,1,0.00,0.00,0.00,0,0,0,10422,10123,10114,-10422,-10123,-10114,RUNNING
19931,1,0.00,0.00,0.00,0,0,0,10505,10183,10174,-10505,-10183,-10174,RUNNING
19953,1,0.00,0.00,0.00,0,0,0,10581,10251,10241,-10581,-10251,-10241,RUNNING
19975,1,0.00,0.00,0.00,0,0,0,10666,10316,10304,-10666,-10316,-10304,RUNNING
19997,1,0.00,0.00,0.00,0,0,0,10744,10375,10373,-10744,-10375,-10373,RUNNING
20019,1,0.00,0.00,0.00,0,0,0,10813,10430,10445,-10813,-10430,-10445,RUNNING
20041,1,0.00,0.00,0.00,0,0,0,10894,10495,10525,-10894,-10495,-10525,RUNNING
20065,1,0.00,0.00,0.00,0,0,0,10974,10565,10613,-10974,-10565,-10613,RUNNING
20087,1,0.00,0.00,0.00,0,0,0,11037,10632,10701,-11037,-10632,-10701,RUNNING
20109,1,0.00,0.00,0.00,0,0,0,11105,10706,10780,-11105,-10706,-10780,RUNNING
20131,1,0.00,0.00,0.00,0,0,0,11177,10782,10860,-11177,-10782,-10860,RUNNING
20153,1,0.00,0.00,0.00,0,0,0,11242,10852,10949,-11242,-10852,-10949,RUNNING
20175,1,0.00,0.00,0.00,0,0,0,11311,10938,11013,-11311,-10938,-11013,RUNNING
20197,1,0.00,0.00,0.00,0,0,0,11382,11006,11075,-11382,-11006,-11075,RUNNING
20221,1,0.00,0.00,0.00,0,0,0,11462,11076,11148,-11462,-11076,-11148,RUNNING
20243,1,0.00,0.00,0.00,0,0,0,11543,11143,11210,-11543,-11143,-11210,RUNNING
20265,1,0.00,0.00,0.00,0,0,0,11613,11207,11270,-11613,-11207,-11270,RUNNING
20287,1,0.00,0.00,0.00,0,0,0,11680,11266,11337,-11680,-11266,-11337,RUNNING
20309,1,0.00,0.00,0.00,0,0,0,11756,11318,11398,-11756,-11318,-11398,RUNNING
20331,1,0.00,0.00,0.00,0,0,0,11827,11382,11465,-11827,-11382,-11465,RUNNING
20355,1,0.00,0.00,0.00,0,0,0,11895,11448,11545,-11895,-11448,-11545,RUNNING
20377,1,0.00,0.00,0.00,0,0,0,11962,11511,11614,-11962,-11511,-11614,RUNNING
20399,1,0.00,0.00,0.00,0,0,0,12026,11573,11677,-12026,-11573,-11677,RUNNING
20421,1,0.00,0.00,0.00,0,0,0,12087,11639,11753,-12087,-11639,-11753,RUNNING
20443,1,0.00,0.00,0.00,0,0,0,12152,11704,11820,-12152,-11704,-11820,RUNNING
20465,1,0.00,0.00,0.00,0,0,0,12212,11780,11881,-12212,-11780,-11881,RUNNING
20487,1,0.00,0.00,0.00,0,0,0,12273,11858,11940,-12273,-11858,-11940,RUNNING
20511,1,0.00,0.00,0.00,0,0,0,12356,11929,12007,-12356,-11929,-12007,RUNNING
20533,1,0.00,0.00,0.00,0,0,0,12429,12010,12064,-12429,-12010,-12064,RUNNING
20555,1,0.00,0.00,0.00,0,0,0,12497,12087,12123,-12497,-12087,-12123,RUNNING
20577,1,0.00,0.00,0.00,0,0,0,12579,12159,12183,-12579,-12159,-12183,RUNNING
20599,1,0.00,0.00,0.00,0,0,0,12661,12230,12239,-12661,-12230,-12239,RUNNING
20621,1,0.00,0.00,0.00,0,0,0,12739,12292,12296,-12739,-12292,-12296,RUNNING
20643,1,0.00,0.00,0.00,0,0,0,12820,12359,12363,-12820,-12359,-12363,RUNNING
20667,1,0.00,0.00,0.00,0,0,0,12904,12437,12434,-12904,-12437,-12434,RUNNING
20689,1,0.00,0.00,0.00,0,0,0,12975,12498,12499,-12975,-12498,-12499,RUNNING
20760,1,0.00,0.00,0.00,0,0,0,13219,12722,12747,-13219,-12722,-12747,RUNNING
20782,1,0.00,0.00,0.00,0,0,0,13298,12797,12825,-13298,-12797,-12825,RUNNING
20804,1,0.00,0.00,0.00,0,0,0,13374,12871,12902,-13374,-12871,-12902,RUNNING
20826,1,0.00,0.00,0.00,0,0,0,13445,12948,12973,-13445,-12948,-12973,RUNNING
20850,1,0.00,0.00,0.00,0,0,0,13526,13039,13049,-13526,-13039,-13049,RUNNING
20872,1,0.00,0.00,0.00,0,0,0,13604,13121,13117,-13604,-13121,-13117,RUNNING
20894,1,0.00,0.00,0.00,0,0,0,13678,13187,13177,-13678,-13187,-13177,RUNNING
20916,1,0.00,0.00,0.00,0,0,0,13752,13258,13242,-13752,-13258,-13242,RUNNING
20938,1,0.00,0.00,0.00,0,0,0,13822,13329,13310,-13822,-13329,-13310,RUNNING
